model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L11_model_06,11,2,1330,1330,L11/L11_model_06/z_checks.csv,L11/L11_model_06/x_checks.csv,1331,1331
L11_model_07,11,2,1330,1330,L11/L11_model_07/z_checks.csv,L11/L11_model_07/x_checks.csv,1331,1331
L11_model_08,11,2,1330,1330,L11/L11_model_08/z_checks.csv,L11/L11_model_08/x_checks.csv,1331,1331
L11_model_09,11,2,1330,1330,L11/L11_model_09/z_checks.csv,L11/L11_model_09/x_checks.csv,1331,1331
L11_model_10,11,2,1330,1330,L11/L11_model_10/z_checks.csv,L11/L11_model_10/x_checks.csv,1331,1331
L11_model_11,11,2,1330,1330,L11/L11_model_11/z_checks.csv,L11/L11_model_11/x_checks.csv,1331,1331
L11_model_12,11,2,1330,1330,L11/L11_model_12/z_checks.csv,L11/L11_model_12/x_checks.csv,1331,1331
L11_model_13,11,2,1330,1330,L11/L11_model_13/z_checks.csv,L11/L11_model_13/x_checks.csv,1331,1331
L11_model_14,11,2,1330,1330,L11/L11_model_14/z_checks.csv,L11/L11_model_14/x_checks.csv,1331,1331
L11_model_15,11,2,1330,1330,L11/L11_model_15/z_checks.csv,L11/L11_model_15/x_checks.csv,1331,1331
L11_model_16,11,2,1330,1330,L11/L11_model_16/z_checks.csv,L11/L11_model_16/x_checks.csv,1331,1331
L11_model_17,11,2,1330,1330,L11/L11_model_17/z_checks.csv,L11/L11_model_17/x_checks.csv,1331,1331
L11_model_18,11,2,1330,1330,L11/L11_model_18/z_checks.csv,L11/L11_model_18/x_checks.csv,1331,1331
L11_model_19,11,2,1330,1330,L11/L11_model_19/z_checks.csv,L11/L11_model_19/x_checks.csv,1331,1331
L11_model_20,11,2,1330,1330,L11/L11_model_20/z_checks.csv,L11/L11_model_20/x_checks.csv,1331,1331
L11_model_21,11,2,1330,1330,L11/L11_model_21/z_checks.csv,L11/L11_model_21/x_checks.csv,1331,1331
L11_model_22,11,2,1330,1330,L11/L11_model_22/z_checks.csv,L11/L11_model_22/x_checks.csv,1331,1331
L11_model_23,11,2,1330,1330,L11/L11_model_23/z_checks.csv,L11/L11_model_23/x_checks.csv,1331,1331
L11_model_24,11,2,1330,1330,L11/L11_model_24/z_checks.csv,L11/L11_model_24/x_checks.csv,1331,1331
L11_model_25,11,2,1330,1330,L11/L11_model_25/z_checks.csv,L11/L11_model_25/x_checks.csv,1331,1331
L11_model_26,11,2,1330,1330,L11/L11_model_26/z_checks.csv,L11/L11_model_26/x_checks.csv,1331,1331
L11_model_27,11,2,1330,1330,L11/L11_model_27/z_checks.csv,L11/L11_model_27/x_checks.csv,1331,1331
L11_model_28,11,2,1330,1330,L11/L11_model_28/z_checks.csv,L11/L11_model_28/x_checks.csv,1331,1331
L11_model_29,11,2,1330,1330,L11/L11_model_29/z_checks.csv,L11/L11_model_29/x_checks.csv,1331,1331
L11_model_30,11,2,1330,1330,L11/L11_model_30/z_checks.csv,L11/L11_model_30/x_checks.csv,1331,1331
L11_model_31,11,2,1330,1330,L11/L11_model_31/z_checks.csv,L11/L11_model_31/x_checks.csv,1331,1331
L11_model_32,11,2,1330,1330,L11/L11_model_32/z_checks.csv,L11/L11_model_32/x_checks.csv,1331,1331
L11_model_33,11,2,1330,1330,L11/L11_model_33/z_checks.csv,L11/L11_model_33/x_checks.csv,1331,1331
L11_model_34,11,2,1330,1330,L11/L11_model_34/z_checks.csv,L11/L11_model_34/x_checks.csv,1331,1331
L11_model_35,11,2,1330,1330,L11/L11_model_35/z_checks.csv,L11/L11_model_35/x_checks.csv,1331,1331
