model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L14_model_35,14,4,2742,2742,L14/L14_model_35/z_checks.csv,L14/L14_model_35/x_checks.csv,2744,2744
L14_model_36,14,4,2742,2742,L14/L14_model_36/z_checks.csv,L14/L14_model_36/x_checks.csv,2744,2744
L14_model_37,14,4,2742,2742,L14/L14_model_37/z_checks.csv,L14/L14_model_37/x_checks.csv,2744,2744
L14_model_38,14,4,2742,2742,L14/L14_model_38/z_checks.csv,L14/L14_model_38/x_checks.csv,2744,2744
L14_model_39,14,4,2742,2742,L14/L14_model_39/z_checks.csv,L14/L14_model_39/x_checks.csv,2744,2744
L14_model_40,14,4,2742,2742,L14/L14_model_40/z_checks.csv,L14/L14_model_40/x_checks.csv,2744,2744
L14_model_41,14,4,2742,2742,L14/L14_model_41/z_checks.csv,L14/L14_model_41/x_checks.csv,2744,2744
L14_model_42,14,4,2742,2742,L14/L14_model_42/z_checks.csv,L14/L14_model_42/x_checks.csv,2744,2744
L14_model_43,14,4,2742,2742,L14/L14_model_43/z_checks.csv,L14/L14_model_43/x_checks.csv,2744,2744
L14_model_44,14,4,2742,2742,L14/L14_model_44/z_checks.csv,L14/L14_model_44/x_checks.csv,2744,2744
L14_model_45,14,4,2742,2742,L14/L14_model_45/z_checks.csv,L14/L14_model_45/x_checks.csv,2744,2744
L14_model_46,14,4,2742,2742,L14/L14_model_46/z_checks.csv,L14/L14_model_46/x_checks.csv,2744,2744
L14_model_47,14,4,2742,2742,L14/L14_model_47/z_checks.csv,L14/L14_model_47/x_checks.csv,2744,2744
L14_model_48,14,4,2742,2742,L14/L14_model_48/z_checks.csv,L14/L14_model_48/x_checks.csv,2744,2744
L14_model_49,14,4,2742,2742,L14/L14_model_49/z_checks.csv,L14/L14_model_49/x_checks.csv,2744,2744
L14_model_50,14,4,2742,2742,L14/L14_model_50/z_checks.csv,L14/L14_model_50/x_checks.csv,2744,2744
L15_model_01,15,2,3374,3374,L15/L15_model_01/z_checks.csv,L15/L15_model_01/x_checks.csv,3375,3375
L15_model_02,15,2,3374,3374,L15/L15_model_02/z_checks.csv,L15/L15_model_02/x_checks.csv,3375,3375
L15_model_03,15,2,3374,3374,L15/L15_model_03/z_checks.csv,L15/L15_model_03/x_checks.csv,3375,3375
L15_model_04,15,2,3374,3374,L15/L15_model_04/z_checks.csv,L15/L15_model_04/x_checks.csv,3375,3375
L15_model_05,15,2,3374,3374,L15/L15_model_05/z_checks.csv,L15/L15_model_05/x_checks.csv,3375,3375
L15_model_06,15,2,3374,3374,L15/L15_model_06/z_checks.csv,L15/L15_model_06/x_checks.csv,3375,3375
L15_model_07,15,2,3374,3374,L15/L15_model_07/z_checks.csv,L15/L15_model_07/x_checks.csv,3375,3375
L15_model_08,15,2,3374,3374,L15/L15_model_08/z_checks.csv,L15/L15_model_08/x_checks.csv,3375,3375
L15_model_09,15,2,3374,3374,L15/L15_model_09/z_checks.csv,L15/L15_model_09/x_checks.csv,3375,3375
L15_model_10,15,2,3374,3374,L15/L15_model_10/z_checks.csv,L15/L15_model_10/x_checks.csv,3375,3375
L15_model_11,15,2,3374,3374,L15/L15_model_11/z_checks.csv,L15/L15_model_11/x_checks.csv,3375,3375
L15_model_12,15,2,3374,3374,L15/L15_model_12/z_checks.csv,L15/L15_model_12/x_checks.csv,3375,3375
L15_model_13,15,2,3374,3374,L15/L15_model_13/z_checks.csv,L15/L15_model_13/x_checks.csv,3375,3375
L15_model_14,15,2,3374,3374,L15/L15_model_14/z_checks.csv,L15/L15_model_14/x_checks.csv,3375,3375
L15_model_15,15,2,3374,3374,L15/L15_model_15/z_checks.csv,L15/L15_model_15/x_checks.csv,3375,3375
L15_model_16,15,2,3374,3374,L15/L15_model_16/z_checks.csv,L15/L15_model_16/x_checks.csv,3375,3375
L15_model_17,15,2,3374,3374,L15/L15_model_17/z_checks.csv,L15/L15_model_17/x_checks.csv,3375,3375
L15_model_18,15,2,3374,3374,L15/L15_model_18/z_checks.csv,L15/L15_model_18/x_checks.csv,3375,3375
L15_model_19,15,2,3374,3374,L15/L15_model_19/z_checks.csv,L15/L15_model_19/x_checks.csv,3375,3375
L15_model_20,15,2,3374,3374,L15/L15_model_20/z_checks.csv,L15/L15_model_20/x_checks.csv,3375,3375
L16_model_01,16,4,4094,4094,L16/L16_model_01/z_checks.csv,L16/L16_model_01/x_checks.csv,4096,4096
L16_model_02,16,4,4094,4094,L16/L16_model_02/z_checks.csv,L16/L16_model_02/x_checks.csv,4096,4096
L16_model_03,16,4,4094,4094,L16/L16_model_03/z_checks.csv,L16/L16_model_03/x_checks.csv,4096,4096
L16_model_04,16,4,4094,4094,L16/L16_model_04/z_checks.csv,L16/L16_model_04/x_checks.csv,4096,4096
L16_model_05,16,4,4094,4094,L16/L16_model_05/z_checks.csv,L16/L16_model_05/x_checks.csv,4096,4096
L16_model_06,16,4,4094,4094,L16/L16_model_06/z_checks.csv,L16/L16_model_06/x_checks.csv,4096,4096
L16_model_07,16,4,4094,4094,L16/L16_model_07/z_checks.csv,L16/L16_model_07/x_checks.csv,4096,4096
L16_model_08,16,4,4094,4094,L16/L16_model_08/z_checks.csv,L16/L16_model_08/x_checks.csv,4096,4096
L16_model_09,16,4,4094,4094,L16/L16_model_09/z_checks.csv,L16/L16_model_09/x_checks.csv,4096,4096
L16_model_10,16,4,4094,4094,L16/L16_model_10/z_checks.csv,L16/L16_model_10/x_checks.csv,4096,4096
L16_model_11,16,4,4094,4094,L16/L16_model_11/z_checks.csv,L16/L16_model_11/x_checks.csv,4096,4096
L16_model_12,16,4,4094,4094,L16/L16_model_12/z_checks.csv,L16/L16_model_12/x_checks.csv,4096,4096
L16_model_13,16,4,4094,4094,L16/L16_model_13/z_checks.csv,L16/L16_model_13/x_checks.csv,4096,4096
L16_model_14,16,4,4094,4094,L16/L16_model_14/z_checks.csv,L16/L16_model_14/x_checks.csv,4096,4096
L16_model_15,16,4,4094,4094,L16/L16_model_15/z_checks.csv,L16/L16_model_15/x_checks.csv,4096,4096
L16_model_16,16,4,4094,4094,L16/L16_model_16/z_checks.csv,L16/L16_model_16/x_checks.csv,4096,4096
L16_model_17,16,4,4094,4094,L16/L16_model_17/z_checks.csv,L16/L16_model_17/x_checks.csv,4096,4096
L16_model_18,16,4,4094,4094,L16/L16_model_18/z_checks.csv,L16/L16_model_18/x_checks.csv,4096,4096
L16_model_19,16,4,4094,4094,L16/L16_model_19/z_checks.csv,L16/L16_model_19/x_checks.csv,4096,4096
L16_model_20,16,4,4094,4094,L16/L16_model_20/z_checks.csv,L16/L16_model_20/x_checks.csv,4096,4096
L17_model_01,17,2,4912,4912,L17/L17_model_01/z_checks.csv,L17/L17_model_01/x_checks.csv,4913,4913
L17_model_02,17,2,4912,4912,L17/L17_model_02/z_checks.csv,L17/L17_model_02/x_checks.csv,4913,4913
L17_model_03,17,2,4912,4912,L17/L17_model_03/z_checks.csv,L17/L17_model_03/x_checks.csv,4913,4913
L17_model_04,17,2,4912,4912,L17/L17_model_04/z_checks.csv,L17/L17_model_04/x_checks.csv,4913,4913
L17_model_05,17,2,4912,4912,L17/L17_model_05/z_checks.csv,L17/L17_model_05/x_checks.csv,4913,4913
L17_model_06,17,2,4912,4912,L17/L17_model_06/z_checks.csv,L17/L17_model_06/x_checks.csv,4913,4913
L17_model_07,17,2,4912,4912,L17/L17_model_07/z_checks.csv,L17/L17_model_07/x_checks.csv,4913,4913
L17_model_08,17,2,4912,4912,L17/L17_model_08/z_checks.csv,L17/L17_model_08/x_checks.csv,4913,4913
L17_model_09,17,2,4912,4912,L17/L17_model_09/z_checks.csv,L17/L17_model_09/x_checks.csv,4913,4913
L17_model_10,17,2,4912,4912,L17/L17_model_10/z_checks.csv,L17/L17_model_10/x_checks.csv,4913,4913
L17_model_11,17,2,4912,4912,L17/L17_model_11/z_checks.csv,L17/L17_model_11/x_checks.csv,4913,4913
L17_model_12,17,2,4912,4912,L17/L17_model_12/z_checks.csv,L17/L17_model_12/x_checks.csv,4913,4913
L17_model_13,17,2,4912,4912,L17/L17_model_13/z_checks.csv,L17/L17_model_13/x_checks.csv,4913,4913
L17_model_14,17,2,4912,4912,L17/L17_model_14/z_checks.csv,L17/L17_model_14/x_checks.csv,4913,4913
L17_model_15,17,2,4912,4912,L17/L17_model_15/z_checks.csv,L17/L17_model_15/x_checks.csv,4913,4913
L17_model_16,17,2,4912,4912,L17/L17_model_16/z_checks.csv,L17/L17_model_16/x_checks.csv,4913,4913
L17_model_17,17,2,4912,4912,L17/L17_model_17/z_checks.csv,L17/L17_model_17/x_checks.csv,4913,4913
L17_model_18,17,2,4912,4912,L17/L17_model_18/z_checks.csv,L17/L17_model_18/x_checks.csv,4913,4913
L17_model_19,17,2,4912,4912,L17/L17_model_19/z_checks.csv,L17/L17_model_19/x_checks.csv,4913,4913
L17_model_20,17,2,4912,4912,L17/L17_model_20/z_checks.csv,L17/L17_model_20/x_checks.csv,4913,4913
L18_model_01,18,4,5830,5830,L18/L18_model_01/z_checks.csv,L18/L18_model_01/x_checks.csv,5832,5832
L18_model_02,18,4,5830,5830,L18/L18_model_02/z_checks.csv,L18/L18_model_02/x_checks.csv,5832,5832
L18_model_03,18,4,5830,5830,L18/L18_model_03/z_checks.csv,L18/L18_model_03/x_checks.csv,5832,5832
L18_model_04,18,4,5830,5830,L18/L18_model_04/z_checks.csv,L18/L18_model_04/x_checks.csv,5832,5832
L18_model_05,18,4,5830,5830,L18/L18_model_05/z_checks.csv,L18/L18_model_05/x_checks.csv,5832,5832
L18_model_06,18,4,5830,5830,L18/L18_model_06/z_checks.csv,L18/L18_model_06/x_checks.csv,5832,5832
L18_model_07,18,4,5830,5830,L18/L18_model_07/z_checks.csv,L18/L18_model_07/x_checks.csv,5832,5832
L18_model_08,18,4,5830,5830,L18/L18_model_08/z_checks.csv,L18/L18_model_08/x_checks.csv,5832,5832
L18_model_09,18,4,5830,5830,L18/L18_model_09/z_checks.csv,L18/L18_model_09/x_checks.csv,5832,5832
L18_model_10,18,4,5830,5830,L18/L18_model_10/z_checks.csv,L18/L18_model_10/x_checks.csv,5832,5832
L18_model_11,18,4,5830,5830,L18/L18_model_11/z_checks.csv,L18/L18_model_11/x_checks.csv,5832,5832
L18_model_12,18,4,5830,5830,L18/L18_model_12/z_checks.csv,L18/L18_model_12/x_checks.csv,5832,5832
L18_model_13,18,4,5830,5830,L18/L18_model_13/z_checks.csv,L18/L18_model_13/x_checks.csv,5832,5832
L18_model_14,18,4,5830,5830,L18/L18_model_14/z_checks.csv,L18/L18_model_14/x_checks.csv,5832,5832
L18_model_15,18,4,5830,5830,L18/L18_model_15/z_checks.csv,L18/L18_model_15/x_checks.csv,5832,5832
L18_model_16,18,4,5830,5830,L18/L18_model_16/z_checks.csv,L18/L18_model_16/x_checks.csv,5832,5832
L18_model_17,18,4,5830,5830,L18/L18_model_17/z_checks.csv,L18/L18_model_17/x_checks.csv,5832,5832
L18_model_18,18,4,5830,5830,L18/L18_model_18/z_checks.csv,L18/L18_model_18/x_checks.csv,5832,5832
L18_model_19,18,4,5830,5830,L18/L18_model_19/z_checks.csv,L18/L18_model_19/x_checks.csv,5832,5832
L18_model_20,18,4,5830,5830,L18/L18_model_20/z_checks.csv,L18/L18_model_20/x_checks.csv,5832,5832
L19_model_01,19,2,6858,6858,L19/L19_model_01/z_checks.csv,L19/L19_model_01/x_checks.csv,6859,6859
L19_model_02,19,2,6858,6858,L19/L19_model_02/z_checks.csv,L19/L19_model_02/x_checks.csv,6859,6859
L19_model_03,19,2,6858,6858,L19/L19_model_03/z_checks.csv,L19/L19_model_03/x_checks.csv,6859,6859
L19_model_04,19,2,6858,6858,L19/L19_model_04/z_checks.csv,L19/L19_model_04/x_checks.csv,6859,6859
L19_model_05,19,2,6858,6858,L19/L19_model_05/z_checks.csv,L19/L19_model_05/x_checks.csv,6859,6859
L19_model_06,19,2,6858,6858,L19/L19_model_06/z_checks.csv,L19/L19_model_06/x_checks.csv,6859,6859
L19_model_07,19,2,6858,6858,L19/L19_model_07/z_checks.csv,L19/L19_model_07/x_checks.csv,6859,6859
L19_model_08,19,2,6858,6858,L19/L19_model_08/z_checks.csv,L19/L19_model_08/x_checks.csv,6859,6859
L19_model_09,19,2,6858,6858,L19/L19_model_09/z_checks.csv,L19/L19_model_09/x_checks.csv,6859,6859
L19_model_10,19,2,6858,6858,L19/L19_model_10/z_checks.csv,L19/L19_model_10/x_checks.csv,6859,6859
L19_model_11,19,2,6858,6858,L19/L19_model_11/z_checks.csv,L19/L19_model_11/x_checks.csv,6859,6859
L19_model_12,19,2,6858,6858,L19/L19_model_12/z_checks.csv,L19/L19_model_12/x_checks.csv,6859,6859
L19_model_13,19,2,6858,6858,L19/L19_model_13/z_checks.csv,L19/L19_model_13/x_checks.csv,6859,6859
L19_model_14,19,2,6858,6858,L19/L19_model_14/z_checks.csv,L19/L19_model_14/x_checks.csv,6859,6859
L19_model_15,19,2,6858,6858,L19/L19_model_15/z_checks.csv,L19/L19_model_15/x_checks.csv,6859,6859
L19_model_16,19,2,6858,6858,L19/L19_model_16/z_checks.csv,L19/L19_model_16/x_checks.csv,6859,6859
L19_model_17,19,2,6858,6858,L19/L19_model_17/z_checks.csv,L19/L19_model_17/x_checks.csv,6859,6859
L19_model_18,19,2,6858,6858,L19/L19_model_18/z_checks.csv,L19/L19_model_18/x_checks.csv,6859,6859
L19_model_19,19,2,6858,6858,L19/L19_model_19/z_checks.csv,L19/L19_model_19/x_checks.csv,6859,6859
L19_model_20,19,2,6858,6858,L19/L19_model_20/z_checks.csv,L19/L19_model_20/x_checks.csv,6859,6859
L20_model_01,20,4,7998,7998,L20/L20_model_01/z_checks.csv,L20/L20_model_01/x_checks.csv,8000,8000
L20_model_02,20,4,7998,7998,L20/L20_model_02/z_checks.csv,L20/L20_model_02/x_checks.csv,8000,8000
L20_model_03,20,4,7998,7998,L20/L20_model_03/z_checks.csv,L20/L20_model_03/x_checks.csv,8000,8000
L20_model_04,20,4,7998,7998,L20/L20_model_04/z_checks.csv,L20/L20_model_04/x_checks.csv,8000,8000
L20_model_05,20,4,7998,7998,L20/L20_model_05/z_checks.csv,L20/L20_model_05/x_checks.csv,8000,8000
L21_model_01,21,2,9260,9260,L21/L21_model_01/z_checks.csv,L21/L21_model_01/x_checks.csv,9261,9261
L21_model_02,21,2,9260,9260,L21/L21_model_02/z_checks.csv,L21/L21_model_02/x_checks.csv,9261,9261
L21_model_03,21,2,9260,9260,L21/L21_model_03/z_checks.csv,L21/L21_model_03/x_checks.csv,9261,9261
L22_model_01,22,4,10646,10646,L22/L22_model_01/z_checks.csv,L22/L22_model_01/x_checks.csv,10648,10648
L22_model_02,22,4,10646,10646,L22/L22_model_02/z_checks.csv,L22/L22_model_02/x_checks.csv,10648,10648
L22_model_03,22,4,10646,10646,L22/L22_model_03/z_checks.csv,L22/L22_model_03/x_checks.csv,10648,10648
L22_model_04,22,4,10646,10646,L22/L22_model_04/z_checks.csv,L22/L22_model_04/x_checks.csv,10648,10648
L22_model_05,22,4,10646,10646,L22/L22_model_05/z_checks.csv,L22/L22_model_05/x_checks.csv,10648,10648
L23_model_01,23,2,12166,12166,L23/L23_model_01/z_checks.csv,L23/L23_model_01/x_checks.csv,12167,12167
L23_model_02,23,2,12166,12166,L23/L23_model_02/z_checks.csv,L23/L23_model_02/x_checks.csv,12167,12167
L23_model_03,23,2,12166,12166,L23/L23_model_03/z_checks.csv,L23/L23_model_03/x_checks.csv,12167,12167
L23_model_04,23,2,12166,12166,L23/L23_model_04/z_checks.csv,L23/L23_model_04/x_checks.csv,12167,12167
L23_model_05,23,2,12166,12166,L23/L23_model_05/z_checks.csv,L23/L23_model_05/x_checks.csv,12167,12167
L24_model_01,24,4,13822,13822,L24/L24_model_01/z_checks.csv,L24/L24_model_01/x_checks.csv,13824,13824
L25_model_01,25,2,15624,15624,L25/L25_model_01/z_checks.csv,L25/L25_model_01/x_checks.csv,15625,15625
L25_model_02,25,2,15624,15624,L25/L25_model_02/z_checks.csv,L25/L25_model_02/x_checks.csv,15625,15625
L25_model_03,25,2,15624,15624,L25/L25_model_03/z_checks.csv,L25/L25_model_03/x_checks.csv,15625,15625
L25_model_04,25,2,15624,15624,L25/L25_model_04/z_checks.csv,L25/L25_model_04/x_checks.csv,15625,15625
L25_model_05,25,2,15624,15624,L25/L25_model_05/z_checks.csv,L25/L25_model_05/x_checks.csv,15625,15625
